ISO3Code,UNRegion,WB_Latest,age,sex,mothers_education,stunt_r,over_r,Wasting_r,severe_r,Status
AFG,Asia,Low Income,month_0_5 , male,none,39.16108799,4.487122869,5.469895497,1.697621776,stunting
AFG,Asia,Low Income,month_0_5 , male,primary,23.7038848,5.119386356,7.02632842,1.805690778,stunting
AFG,Asia,Low Income,month_0_5 , male,none-primary,38.41457638,4.277102508,5.450458036,1.595920099,stunting
AFG,Asia,Low Income,month_0_5 , male,secondary,20.1119171,7.965074265,8.226874811,3.220327372,stunting
AFG,Asia,Low Income,month_0_5 , male,higher,18.48418438,6.337407718,6.476115114,2.177414792,stunting
AFG,Asia,Low Income,month_0_5 , male,higher_secondary,20.40013088,6.295755832,6.26969479,2.37592231,stunting
AFG,Asia,Low Income,month_6_11 , male,none,39.52671458,4.285162624,5.427100331,1.63406505,stunting
AFG,Asia,Low Income,month_6_11 , male,primary,26.23877066,3.620351467,6.715975363,1.333479778,stunting
AFG,Asia,Low Income,month_6_11 , male,none-primary,38.75236259,4.089562143,5.410734454,1.536878529,stunting
AFG,Asia,Low Income,month_6_11 , male,secondary,23.66759346,5.860503175,7.795597215,2.561132145,stunting
AFG,Asia,Low Income,month_6_11 , male,higher,21.1073552,4.797182473,6.152990845,1.692165141,stunting
AFG,Asia,Low Income,month_6_11 , male,higher_secondary,22.42855461,5.103518608,6.018765908,2.001172869,stunting
AFG,Asia,Low Income,month_12_23 , male,none,39.87441259,4.039706334,5.56333231,1.632058733,stunting
AFG,Asia,Low Income,month_12_23 , male,primary,32.14265004,2.455419123,7.091751261,1.410838247,stunting
AFG,Asia,Low Income,month_12_23 , male,none-primary,39.11561988,3.870594905,5.538444095,1.539816952,stunting
AFG,Asia,Low Income,month_12_23 , male,secondary,32.10152426,3.55727332,7.868796286,2.202567054,stunting
AFG,Asia,Low Income,month_12_23 , male,higher,28.85523013,3.252266443,6.706515053,1.663314382,stunting
AFG,Asia,Low Income,month_12_23 , male,higher_secondary,28.49636373,3.744013003,6.511973993,1.9,stunting
AFG,Asia,Low Income,month_0_23 , male,none,37.79364925,4.374640424,5.937370679,1.735831441,stunting
AFG,Asia,Low Income,month_0_23 , male,primary,27.07544556,4.335507591,7.955193707,1.892270715,stunting
AFG,Asia,Low Income,month_0_23 , male,none-primary,37.23559297,4.20016657,5.891484515,1.645575687,stunting
AFG,Asia,Low Income,month_0_23 , male,secondary,26.28727005,5.243502948,8.526440271,2.414802359,stunting
AFG,Asia,Low Income,month_0_23 , male,higher,24.90889585,4.855431851,7.728245628,2.055431851,stunting
AFG,Asia,Low Income,month_0_23 , male,higher_secondary,25.12303897,5.001164341,7.484519902,2.168219122,stunting
AFG,Asia,Low Income,month_24_35 , male,none,41.41823951,4.078502621,5.211045216,1.644180865,stunting
AFG,Asia,Low Income,month_24_35 , male,primary,40.5914248,2.701284262,5.140513705,1.48166954,stunting
AFG,Asia,Low Income,month_24_35 , male,none-primary,40.55536708,3.907376916,5.210291454,1.551457269,stunting
AFG,Asia,Low Income,month_24_35 , male,secondary,42.708074,3.835642049,5.398085607,2.269735418,stunting
AFG,Asia,Low Income,month_24_35 , male,higher,37.71088,3.485657443,4.721513835,1.73003979,stunting
AFG,Asia,Low Income,month_24_35 , male,higher_secondary,35.86049223,3.929403722,4.860903912,1.951211546,stunting
AFG,Asia,Low Income,month_36_47 , male,none,41.07041561,4.166024671,4.984822916,1.509399122,stunting
AFG,Asia,Low Income,month_36_47 , male,primary,38.76455939,3.194435352,3.927168576,0.760801964,stunting
AFG,Asia,Low Income,month_36_47 , male,none-primary,40.23399698,3.989445487,4.999464259,1.426118411,stunting
AFG,Asia,Low Income,month_36_47 , male,secondary,40.3823423,4.428080365,3.876087671,1.352084018,stunting
AFG,Asia,Low Income,month_36_47 , male,higher,35.8612079,3.975800722,3.489501806,0.989501806,stunting
AFG,Asia,Low Income,month_36_47 , male,higher_secondary,34.34480503,4.332762708,3.828932199,1.328932199,stunting
