ISO3Code,UNRegion,WB_Latest,age,sex,mothers_education,Overweight_estimate
AFG,Asia,Low Income,month_0_5 , male,primary,5.119386355845046
AFG,Asia,Low Income,month_0_5 , male,none-primary,4.277102507651828
AFG,Asia,Low Income,month_0_5 , male,secondary,7.965074264928766
AFG,Asia,Low Income,month_0_5 , male,higher_secondary,6.295755831877504
AFG,Asia,Low Income,month_6_11 , male,primary,3.620351466597752
AFG,Asia,Low Income,month_6_11 , male,none-primary,4.089562143022175
AFG,Asia,Low Income,month_6_11 , male,secondary,5.860503175378603
AFG,Asia,Low Income,month_6_11 , male,higher_secondary,5.10351860769072
AFG,Asia,Low Income,month_12_23 , male,primary,2.455419123457541
AFG,Asia,Low Income,month_12_23 , male,none-primary,3.87059490490102
AFG,Asia,Low Income,month_12_23 , male,secondary,3.5572733202870195
AFG,Asia,Low Income,month_12_23 , male,higher_secondary,3.7440130034314616
AFG,Asia,Low Income,month_24_35 , male,primary,2.701284261846721
AFG,Asia,Low Income,month_24_35 , male,none-primary,3.90737691571856
AFG,Asia,Low Income,month_24_35 , male,secondary,3.835642049483151
AFG,Asia,Low Income,month_24_35 , male,higher_secondary,3.929403721990125
AFG,Asia,Low Income,month_36_47 , male,primary,3.1944353518821607
AFG,Asia,Low Income,month_36_47 , male,none-primary,3.98944548729136
AFG,Asia,Low Income,month_36_47 , male,secondary,4.428080365296804
AFG,Asia,Low Income,month_36_47 , male,higher_secondary,4.332762708057794
AFG,Asia,Low Income,month_48_59 , male,primary,2.75506363471862
AFG,Asia,Low Income,month_48_59 , male,none-primary,3.919425458551813
AFG,Asia,Low Income,month_48_59 , male,secondary,3.924090891818977
AFG,Asia,Low Income,month_48_59 , male,higher_secondary,3.990219146482122
AFG,Asia,Low Income,month_0_5 , female,primary,5.375111032154912
AFG,Asia,Low Income,month_0_5 , female,none-primary,4.304432339140283
AFG,Asia,Low Income,month_0_5 , female,secondary,8.481269537480063
AFG,Asia,Low Income,month_0_5 , female,higher_secondary,6.532689528777358
AFG,Asia,Low Income,month_6_11 , female,primary,3.120169476564569
AFG,Asia,Low Income,month_6_11 , female,none-primary,4.029897818401311
AFG,Asia,Low Income,month_6_11 , female,secondary,5.223158626793955
AFG,Asia,Low Income,month_6_11 , female,higher_secondary,4.735149921094161
AFG,Asia,Low Income,month_12_23 , female,primary,2.9090700236034617
AFG,Asia,Low Income,month_12_23 , female,none-primary,3.9528353256039743
AFG,Asia,Low Income,month_12_23 , female,secondary,4.1851929092805005
AFG,Asia,Low Income,month_12_23 , female,higher_secondary,4.165648915816327
AFG,Asia,Low Income,month_24_35 , female,primary,3.3989311671654554
AFG,Asia,Low Income,month_24_35 , female,none-primary,4.029647311388263
AFG,Asia,Low Income,month_24_35 , female,secondary,4.756583671105965
AFG,Asia,Low Income,month_24_35 , female,higher_secondary,4.549579048260498
AFG,Asia,Low Income,month_36_47 , female,primary,2.9588974381141755
AFG,Asia,Low Income,month_36_47 , female,none-primary,3.9461297097598615
AFG,Asia,Low Income,month_36_47 , female,secondary,4.113230437903805
AFG,Asia,Low Income,month_36_47 , female,higher_secondary,4.11762660880714
AFG,Asia,Low Income,month_48_59 , female,primary,2.1000000000000005
AFG,Asia,Low Income,month_48_59 , female,none-primary,3.833310911151241
AFG,Asia,Low Income,month_48_59 , female,secondary,3.2172319986398032
AFG,Asia,Low Income,month_48_59 , female,higher_secondary,3.5362384054770324
ALB,Europe,Upper Middle Income,month_0_5 , male,primary,16.070710347064548
ALB,Europe,Upper Middle Income,month_0_5 , male,none-primary,15.88665235710311
ALB,Europe,Upper Middle Income,month_0_5 , male,secondary,16.047852298417485
ALB,Europe,Upper Middle Income,month_0_5 , male,higher_secondary,17.256037751068806
ALB,Europe,Upper Middle Income,month_6_11 , male,primary,16.14095744680851
ALB,Europe,Upper Middle Income,month_6_11 , male,none-primary,15.956633741604112
ALB,Europe,Upper Middle Income,month_6_11 , male,secondary,16.177991357472806
ALB,Europe,Upper Middle Income,month_6_11 , male,higher_secondary,17.318696384189852
ALB,Europe,Upper Middle Income,month_12_23 , male,primary,18.004761556999927
ALB,Europe,Upper Middle Income,month_12_23 , male,none-primary,17.80440459110474
ALB,Europe,Upper Middle Income,month_12_23 , male,secondary,19.363769384692347
ALB,Europe,Upper Middle Income,month_12_23 , male,higher_secondary,19.063693850850417
ALB,Europe,Upper Middle Income,month_24_35 , male,primary,15.646354883081154
ALB,Europe,Upper Middle Income,month_24_35 , male,none-primary,15.489139402560458
ALB,Europe,Upper Middle Income,month_24_35 , male,secondary,15.329793001478562
ALB,Europe,Upper Middle Income,month_24_35 , male,higher_secondary,16.70717682663208
ALB,Europe,Upper Middle Income,month_36_47 , male,primary,15.726862774376588
ALB,Europe,Upper Middle Income,month_36_47 , male,none-primary,15.56336045744447
ALB,Europe,Upper Middle Income,month_36_47 , male,secondary,15.452656879303628
ALB,Europe,Upper Middle Income,month_36_47 , male,higher_secondary,16.820320974812393
ALB,Europe,Upper Middle Income,month_48_59 , male,primary,15.609927611168564
ALB,Europe,Upper Middle Income,month_48_59 , male,none-primary,15.450228509249186
ALB,Europe,Upper Middle Income,month_48_59 , male,secondary,15.25579645453386
ALB,Europe,Upper Middle Income,month_48_59 , male,higher_secondary,16.692369330294788
ALB,Europe,Upper Middle Income,month_0_5 , female,primary,15.515536950571567
ALB,Europe,Upper Middle Income,month_0_5 , female,none-primary,15.343610387560188
ALB,Europe,Upper Middle Income,month_0_5 , female,secondary,15.022676579925651
ALB,Europe,Upper Middle Income,month_0_5 , female,higher_secondary,16.69521101946024
ALB,Europe,Upper Middle Income,month_6_11 , female,primary,15.908776978417269
ALB,Europe,Upper Middle Income,month_6_11 , female,none-primary,15.730422513130048
ALB,Europe,Upper Middle Income,month_6_11 , female,secondary,15.751108175546753
ALB,Europe,Upper Middle Income,month_6_11 , female,higher_secondary,17.07816302186879
ALB,Europe,Upper Middle Income,month_12_23 , female,primary,16.839008264462812
ALB,Europe,Upper Middle Income,month_12_23 , female,none-primary,16.654230286936638
ALB,Europe,Upper Middle Income,month_12_23 , female,secondary,17.394023381058716
ALB,Europe,Upper Middle Income,month_12_23 , female,higher_secondary,17.93392897196262
ALB,Europe,Upper Middle Income,month_24_35 , female,primary,15.902585500335292
ALB,Europe,Upper Middle Income,month_24_35 , female,none-primary,15.736230611647644
ALB,Europe,Upper Middle Income,month_24_35 , female,secondary,15.758946141895391
ALB,Europe,Upper Middle Income,month_24_35 , female,higher_secondary,16.99300756339908
ALB,Europe,Upper Middle Income,month_36_47 , female,primary,15.899422478898268
ALB,Europe,Upper Middle Income,month_36_47 , female,none-primary,15.734152548534864
ALB,Europe,Upper Middle Income,month_36_47 , female,secondary,15.75503905749776
ALB,Europe,Upper Middle Income,month_36_47 , female,higher_secondary,16.98302999042075
