ISO3Code,UNRegion,WB_Latest,age,sex,mothers_education,stunting_estimate
AFG,Asia,Low Income,month_0_5 , male,primary,23.70388480445469
AFG,Asia,Low Income,month_0_5 , male,none-primary,38.41457637764041
AFG,Asia,Low Income,month_0_5 , male,secondary,20.1119170984456
AFG,Asia,Low Income,month_0_5 , male,higher_secondary,20.40013088079236
AFG,Asia,Low Income,month_6_11 , male,primary,26.23877066479072
AFG,Asia,Low Income,month_6_11 , male,none-primary,38.75236258916602
AFG,Asia,Low Income,month_6_11 , male,secondary,23.66759346233327
AFG,Asia,Low Income,month_6_11 , male,higher_secondary,22.428554608056515
AFG,Asia,Low Income,month_12_23 , male,primary,32.142650039928746
AFG,Asia,Low Income,month_12_23 , male,none-primary,39.11561988099039
AFG,Asia,Low Income,month_12_23 , male,secondary,32.10152426017143
AFG,Asia,Low Income,month_12_23 , male,higher_secondary,28.496363732459496
AFG,Asia,Low Income,month_24_35 , male,primary,40.59142479815109
AFG,Asia,Low Income,month_24_35 , male,none-primary,40.55536708438458
AFG,Asia,Low Income,month_24_35 , male,secondary,42.708073995930974
AFG,Asia,Low Income,month_24_35 , male,higher_secondary,35.86049222797927
AFG,Asia,Low Income,month_36_47 , male,primary,38.76455939263242
AFG,Asia,Low Income,month_36_47 , male,none-primary,40.23399698497687
AFG,Asia,Low Income,month_36_47 , male,secondary,40.38234229576009
AFG,Asia,Low Income,month_36_47 , male,higher_secondary,34.34480502887515
AFG,Asia,Low Income,month_48_59 , male,primary,38.87192244375343
AFG,Asia,Low Income,month_48_59 , male,none-primary,40.260461214398845
AFG,Asia,Low Income,month_48_59 , male,secondary,40.58285626464825
AFG,Asia,Low Income,month_48_59 , male,higher_secondary,34.31553892608638
AFG,Asia,Low Income,month_0_5 , female,primary,23.634000090921493
AFG,Asia,Low Income,month_0_5 , female,none-primary,38.48673801768264
AFG,Asia,Low Income,month_0_5 , female,secondary,19.777315727236896
AFG,Asia,Low Income,month_0_5 , female,higher_secondary,20.223885630498533
AFG,Asia,Low Income,month_6_11 , female,primary,24.58949759486906
AFG,Asia,Low Income,month_6_11 , female,none-primary,38.56793795691022
AFG,Asia,Low Income,month_6_11 , female,secondary,21.25767685143841
AFG,Asia,Low Income,month_6_11 , female,higher_secondary,21.05332251667568
AFG,Asia,Low Income,month_12_23 , female,primary,29.140982766352742
AFG,Asia,Low Income,month_12_23 , female,none-primary,38.67099247906312
AFG,Asia,Low Income,month_12_23 , female,secondary,28.26561387718365
AFG,Asia,Low Income,month_12_23 , female,higher_secondary,25.795285060683263
AFG,Asia,Low Income,month_24_35 , female,primary,39.76692787560309
AFG,Asia,Low Income,month_24_35 , female,none-primary,40.41479378205799
AFG,Asia,Low Income,month_24_35 , female,secondary,41.73052860358612
AFG,Asia,Low Income,month_24_35 , female,higher_secondary,35.05409528341793
AFG,Asia,Low Income,month_36_47 , female,primary,40.34176462051953
AFG,Asia,Low Income,month_36_47 , female,none-primary,40.51100355488304
AFG,Asia,Low Income,month_36_47 , female,secondary,42.31028540462428
AFG,Asia,Low Income,month_36_47 , female,higher_secondary,35.779505762745984
AFG,Asia,Low Income,month_48_59 , female,primary,41.18087008343266
AFG,Asia,Low Income,month_48_59 , female,none-primary,40.649109541497324
AFG,Asia,Low Income,month_48_59 , female,secondary,43.74920824619061
AFG,Asia,Low Income,month_48_59 , female,higher_secondary,35.94717783977231
ALB,Europe,Upper Middle Income,month_0_5 , male,primary,12.333221153846152
ALB,Europe,Upper Middle Income,month_0_5 , male,none-primary,12.79610940815845
ALB,Europe,Upper Middle Income,month_0_5 , male,secondary,10.757853599879754
ALB,Europe,Upper Middle Income,month_0_5 , male,higher_secondary,9.591379033552736
ALB,Europe,Upper Middle Income,month_6_11 , male,primary,12.125524809160304
ALB,Europe,Upper Middle Income,month_6_11 , male,none-primary,12.588883688275216
ALB,Europe,Upper Middle Income,month_6_11 , male,secondary,10.393243443473107
ALB,Europe,Upper Middle Income,month_6_11 , male,higher_secondary,9.404285486697468
ALB,Europe,Upper Middle Income,month_12_23 , male,primary,13.153834521494922
ALB,Europe,Upper Middle Income,month_12_23 , male,none-primary,13.55651804670913
ALB,Europe,Upper Middle Income,month_12_23 , male,secondary,12.446736972704716
