ISO3Code,UNRegion,WB_Latest,age,sex,mothers_education,wasting_estimate
AFG,Asia,Low Income,month_0_5 , male,primary,7.026328419609188
AFG,Asia,Low Income,month_0_5 , male,none-primary,5.450458035762229
AFG,Asia,Low Income,month_0_5 , male,secondary,8.22687481054865
AFG,Asia,Low Income,month_0_5 , male,higher_secondary,6.2696947898468816
AFG,Asia,Low Income,month_6_11 , male,primary,6.715975362880648
AFG,Asia,Low Income,month_6_11 , male,none-primary,5.410734454169824
AFG,Asia,Low Income,month_6_11 , male,secondary,7.795597215437225
AFG,Asia,Low Income,month_6_11 , male,higher_secondary,6.018765907683841
AFG,Asia,Low Income,month_12_23 , male,primary,7.0917512613215
AFG,Asia,Low Income,month_12_23 , male,none-primary,5.538444094874257
AFG,Asia,Low Income,month_12_23 , male,secondary,7.868796285637543
AFG,Asia,Low Income,month_12_23 , male,higher_secondary,6.511973993137078
AFG,Asia,Low Income,month_24_35 , male,primary,5.140513704738688
AFG,Asia,Low Income,month_24_35 , male,none-primary,5.21029145380905
AFG,Asia,Low Income,month_24_35 , male,secondary,5.398085606597754
AFG,Asia,Low Income,month_24_35 , male,higher_secondary,4.860903911887581
AFG,Asia,Low Income,month_36_47 , male,primary,3.927168576104746
AFG,Asia,Low Income,month_36_47 , male,none-primary,4.999464258535843
AFG,Asia,Low Income,month_36_47 , male,secondary,3.876087671232877
AFG,Asia,Low Income,month_36_47 , male,higher_secondary,3.828932198737304
AFG,Asia,Low Income,month_48_59 , male,primary,3.887628928162133
AFG,Asia,Low Income,month_48_59 , male,none-primary,4.998563646379533
AFG,Asia,Low Income,month_48_59 , male,secondary,3.824216286050842
AFG,Asia,Low Income,month_48_59 , male,higher_secondary,3.792664359861592
AFG,Asia,Low Income,month_0_5 , female,primary,5.991703677384971
AFG,Asia,Low Income,month_0_5 , female,none-primary,5.317844776441399
AFG,Asia,Low Income,month_0_5 , female,secondary,6.803515151515151
AFG,Asia,Low Income,month_0_5 , female,higher_secondary,5.426778980016212
AFG,Asia,Low Income,month_6_11 , female,primary,6.736305057816224
AFG,Asia,Low Income,month_6_11 , female,none-primary,5.409284728809176
AFG,Asia,Low Income,month_6_11 , female,secondary,7.862875387241575
AFG,Asia,Low Income,month_6_11 , female,higher_secondary,6.021251972645976
AFG,Asia,Low Income,month_12_23 , female,primary,5.651279307631786
AFG,Asia,Low Income,month_12_23 , female,none-primary,5.294329348792052
AFG,Asia,Low Income,month_12_23 , female,secondary,6.068232132830672
AFG,Asia,Low Income,month_12_23 , female,higher_secondary,5.278332270408163
AFG,Asia,Low Income,month_24_35 , female,primary,3.1877725523728087
AFG,Asia,Low Income,month_24_35 , female,none-primary,4.883762011858516
AFG,Asia,Low Income,month_24_35 , female,secondary,2.938533101717815
AFG,Asia,Low Income,month_24_35 , female,higher_secondary,3.19797943165039
AFG,Asia,Low Income,month_36_47 , female,primary,3.3049047577879604
AFG,Asia,Low Income,month_36_47 , female,none-primary,4.887552316607201
AFG,Asia,Low Income,month_36_47 , female,secondary,3.101916726489591
AFG,Asia,Low Income,month_36_47 , female,higher_secondary,3.297704521919227
AFG,Asia,Low Income,month_48_59 , female,primary,3.113323673724768
AFG,Asia,Low Income,month_48_59 , female,none-primary,4.892941152120708
AFG,Asia,Low Income,month_48_59 , female,secondary,2.817231998639803
AFG,Asia,Low Income,month_48_59 , female,higher_secondary,3.136238405477032
ALB,Europe,Upper Middle Income,month_0_5 , male,primary,2.0121310411936424
ALB,Europe,Upper Middle Income,month_0_5 , male,none-primary,2.099300421337149
ALB,Europe,Upper Middle Income,month_0_5 , male,secondary,2.194272795779955
ALB,Europe,Upper Middle Income,month_0_5 , male,higher_secondary,1.5549810438009195
ALB,Europe,Upper Middle Income,month_6_11 , male,primary,1.8939716312056736
ALB,Europe,Upper Middle Income,month_6_11 , male,none-primary,1.9829237455551163
ALB,Europe,Upper Middle Income,month_6_11 , male,secondary,1.9737445984205035
ALB,Europe,Upper Middle Income,month_6_11 , male,higher_secondary,1.4402228814238758
ALB,Europe,Upper Middle Income,month_12_23 , male,primary,1.5136054918571535
ALB,Europe,Upper Middle Income,month_12_23 , male,none-primary,1.6010975609756095
ALB,Europe,Upper Middle Income,month_12_23 , male,secondary,1.3095547773886944
ALB,Europe,Upper Middle Income,month_12_23 , male,higher_secondary,1.1040340165721765
ALB,Europe,Upper Middle Income,month_24_35 , male,primary,1.6324838919858105
ALB,Europe,Upper Middle Income,month_24_35 , male,none-primary,1.7171408250355618
ALB,Europe,Upper Middle Income,month_24_35 , male,secondary,1.5148965007392805
ALB,Europe,Upper Middle Income,month_24_35 , male,higher_secondary,1.2258971033290098
ALB,Europe,Upper Middle Income,month_36_47 , male,primary,1.65539793937584
ALB,Europe,Upper Middle Income,month_36_47 , male,none-primary,1.7422403049629789
ALB,Europe,Upper Middle Income,month_36_47 , male,secondary,1.5483694946082889
ALB,Europe,Upper Middle Income,month_36_47 , male,higher_secondary,1.2360427966416525
ALB,Europe,Upper Middle Income,month_48_59 , male,primary,1.6134436401240952
