ISO3Code,UNRegion,WB_Latest,age,sex,mothers_education,stunting_weighted,stunting_r,overweight_weighted,overweight_r,Wasting_Weighted,Wasting_r,severe_wasting__Weighted,severe_wasting_r,Status
AFG,Asia,Low Income,month_0_5 , male,none,16820,39.16108799,17281.8,4.487122869,17281.8,5.469895497,17281.8,1.697621776,stunting
AFG,Asia,Low Income,month_0_5 , male,primary,2298.7,23.7038848,2333.6,5.119386356,2333.6,7.02632842,2333.6,1.805690778,stunting
AFG,Asia,Low Income,month_0_5 , male,none-primary,18150.6,38.41457638,18623,4.277102508,18623,5.450458036,18623,1.595920099,stunting
AFG,Asia,Low Income,month_0_5 , male,secondary,1621.2,20.1119171,1649.5,7.965074265,1649.5,8.226874811,1649.5,3.220327372,stunting
AFG,Asia,Low Income,month_0_5 , male,higher,2173.8,18.48418438,2262.1,6.337407718,2262.1,6.476115114,2262.1,2.177414792,stunting
AFG,Asia,Low Income,month_0_5 , male,higher_secondary,2827,20.40013088,2919.3,6.295755832,2919.3,6.26969479,2919.3,2.37592231,stunting
AFG,Asia,Low Income,month_6_11 , male,none,16795.7,39.52671458,17269.9,4.285162624,17269.9,5.427100331,17269.9,1.63406505,stunting
AFG,Asia,Low Income,month_6_11 , male,primary,2274.4,26.23877066,2321.7,3.620351467,2321.7,6.715975363,2321.7,1.333479778,stunting
AFG,Asia,Low Income,month_6_11 , male,none-primary,18126.3,38.75236259,18611.1,4.089562143,18611.1,5.410734454,18611.1,1.536878529,stunting
AFG,Asia,Low Income,month_6_11 , male,secondary,1596.9,23.66759346,1637.6,5.860503175,1637.6,7.795597215,1637.6,2.561132145,stunting
AFG,Asia,Low Income,month_6_11 , male,higher,2149.5,21.1073552,2250.2,4.797182473,2250.2,6.152990845,2250.2,1.692165141,stunting
AFG,Asia,Low Income,month_6_11 , male,higher_secondary,2802.7,22.42855461,2907.4,5.103518608,2907.4,6.018765908,2907.4,2.001172869,stunting
AFG,Asia,Low Income,month_12_23 , male,none,17777.1,39.87441259,18238.4,4.039706334,18238.4,5.56333231,18238.4,1.632058733,stunting
AFG,Asia,Low Income,month_12_23 , male,primary,3255.8,32.14265004,3290.2,2.455419123,3290.2,7.091751261,3290.2,1.410838247,stunting
AFG,Asia,Low Income,month_12_23 , male,none-primary,19107.7,39.11561988,19579.6,3.870594905,19579.6,5.538444095,19579.6,1.539816952,stunting
AFG,Asia,Low Income,month_12_23 , male,secondary,2578.3,32.10152426,2606.1,3.55727332,2606.1,7.868796286,2606.1,2.202567054,stunting
AFG,Asia,Low Income,month_12_23 , male,higher,3130.9,28.85523013,3218.7,3.252266443,3218.7,6.706515053,3218.7,1.663314382,stunting
AFG,Asia,Low Income,month_12_23 , male,higher_secondary,3784.1,28.49636373,3875.9,3.744013003,3875.9,6.511973993,3875.9,1.9,stunting
AFG,Asia,Low Income,month_0_23 , male,none,19689,37.79364925,20211.3,4.374640424,20211.3,5.937370679,20211.3,1.735831441,stunting
AFG,Asia,Low Income,month_0_23 , male,primary,5167.7,27.07544556,5263.1,4.335507591,5263.1,7.955193707,5263.1,1.892270715,stunting
AFG,Asia,Low Income,month_0_23 , male,none-primary,21019.6,37.23559297,21552.5,4.20016657,21552.5,5.891484515,21552.5,1.645575687,stunting
AFG,Asia,Low Income,month_0_23 , male,secondary,4490.2,26.28727005,4579,5.243502948,4579,8.526440271,4579,2.414802359,stunting
AFG,Asia,Low Income,month_0_23 , male,higher,5042.8,24.90889585,5191.6,4.855431851,5191.6,7.728245628,5191.6,2.055431851,stunting
AFG,Asia,Low Income,month_0_23 , male,higher_secondary,5696,25.12303897,5848.8,5.001164341,5848.8,7.484519902,5848.8,2.168219122,stunting
AFG,Asia,Low Income,month_24_35 , male,none,17853,41.41823951,18312,4.078502621,18312,5.211045216,18312,1.644180865,stunting
AFG,Asia,Low Income,month_24_35 , male,primary,3331.7,40.5914248,3363.8,2.701284262,3363.8,5.140513705,3363.8,1.48166954,stunting
AFG,Asia,Low Income,month_24_35 , male,none-primary,19183.6,40.55536708,19653.2,3.907376916,19653.2,5.210291454,19653.2,1.551457269,stunting
AFG,Asia,Low Income,month_24_35 , male,secondary,2654.2,42.708074,2679.7,3.835642049,2679.7,5.398085607,2679.7,2.269735418,stunting
AFG,Asia,Low Income,month_24_35 , male,higher,3206.8,37.71088,3292.3,3.485657443,3292.3,4.721513835,3292.3,1.73003979,stunting
AFG,Asia,Low Income,month_24_35 , male,higher_secondary,3860,35.86049223,3949.5,3.929403722,3949.5,4.860903912,3949.5,1.951211546,stunting
AFG,Asia,Low Income,month_36_47 , male,none,17906.4,41.07041561,18369.8,4.166024671,18369.8,4.984822916,18369.8,1.509399122,stunting
AFG,Asia,Low Income,month_36_47 , male,primary,3385.1,38.76455939,3421.6,3.194435352,3421.6,3.927168576,3421.6,0.760801964,stunting
AFG,Asia,Low Income,month_36_47 , male,none-primary,19237,40.23399698,19711,3.989445487,19711,4.999464259,19711,1.426118411,stunting
AFG,Asia,Low Income,month_36_47 , male,secondary,2707.6,40.3823423,2737.5,4.428080365,2737.5,3.876087671,2737.5,1.352084018,stunting
AFG,Asia,Low Income,month_36_47 , male,higher,3260.2,35.8612079,3350.1,3.975800722,3350.1,3.489501806,3350.1,0.989501806,stunting
AFG,Asia,Low Income,month_36_47 , male,higher_secondary,3913.4,34.34480503,4007.3,4.332762708,4007.3,3.828932199,4007.3,1.328932199,stunting
AFG,Asia,Low Income,month_48_59 , male,none,17801.5,41.10378676,18264,4.091885677,18264,4.983771353,18264,1.524319974,stunting
AFG,Asia,Low Income,month_48_59 , male,primary,3280.2,38.87192244,3315.8,2.755063635,3315.8,3.887628928,3315.8,0.819102479,stunting
AFG,Asia,Low Income,month_48_59 , male,none-primary,19132.1,40.26046121,19605.2,3.919425459,19605.2,4.998563646,19605.2,1.439569094,stunting
AFG,Asia,Low Income,month_48_59 , male,secondary,2602.7,40.58285626,2631.7,3.924090892,2631.7,3.824216286,2631.7,1.449310332,stunting
AFG,Asia,Low Income,month_48_59 , male,higher,3155.3,35.87629702,3244.3,3.552226983,3244.3,3.434817988,3244.3,1.056545326,stunting
AFG,Asia,Low Income,month_48_59 , male,higher_secondary,3808.5,34.31553893,3901.5,3.990219146,3901.5,3.79266436,3901.5,1.393886967,stunting
AFG,Asia,Low Income,month_0_5 , female,none,16721,39.24341188,17199.8,4.517585088,17199.8,5.327034035,17199.8,1.637051594,stunting
AFG,Asia,Low Income,month_0_5 , female,primary,2199.7,23.63400009,2251.6,5.375111032,2251.6,5.991703677,2251.6,1.346935513,stunting
AFG,Asia,Low Income,month_0_5 , female,none-primary,18051.6,38.48673802,18541,4.304432339,18541,5.317844776,18541,1.539281592,stunting
AFG,Asia,Low Income,month_0_5 , female,secondary,1522.2,19.77731573,1567.5,8.481269537,1567.5,6.803515152,1567.5,2.635362041,stunting
AFG,Asia,Low Income,month_0_5 , female,higher,2074.8,18.16103239,2180.1,6.647332691,2180.1,5.386862988,2180.1,1.717595523,stunting
AFG,Asia,Low Income,month_0_5 , female,higher_secondary,2728,20.22388563,2837.3,6.532689529,2837.3,5.42677898,2837.3,2.028347373,stunting
AFG,Asia,Low Income,month_6_11 , female,none,16766.5,39.32900248,17214,4.221484838,17214,5.425590798,17214,1.696681771,stunting
AFG,Asia,Low Income,month_6_11 , female,primary,2245.2,24.58949759,2265.8,3.120169477,2265.8,6.736305058,2265.8,1.801783035,stunting
AFG,Asia,Low Income,month_6_11 , female,none-primary,18097.1,38.56793796,18555.2,4.029897818,18555.2,5.409284729,18555.2,1.594676425,stunting
AFG,Asia,Low Income,month_6_11 , female,secondary,1567.7,21.25767685,1581.7,5.223158627,1581.7,7.862875387,1581.7,3.275368275,stunting
AFG,Asia,Low Income,month_6_11 , female,higher,2120.3,19.29026081,2194.3,4.310682222,2194.3,6.159640888,2194.3,2.184865333,stunting
AFG,Asia,Low Income,month_6_11 , female,higher_secondary,2773.5,21.05332252,2851.5,4.735149921,2851.5,6.021251973,2851.5,2.386375592,stunting
AFG,Asia,Low Income,month_12_23 , female,none,17643.1,39.40201552,18125.7,4.129083566,18125.7,5.301309191,18125.7,1.660785514,stunting
AFG,Asia,Low Income,month_12_23 , female,primary,3121.8,29.14098277,3177.5,2.909070024,3177.5,5.651279308,3177.5,1.56686074,stunting
AFG,Asia,Low Income,month_12_23 , female,none-primary,18973.7,38.67099248,19466.9,3.952835326,19466.9,5.294329349,19466.9,1.566030544,stunting
AFG,Asia,Low Income,month_12_23 , female,secondary,2444.3,28.26561388,2493.4,4.185192909,2493.4,6.068232133,2493.4,2.437182161,stunting
AFG,Asia,Low Income,month_12_23 , female,higher,2996.9,25.58147419,3106,3.745273664,3106,5.218905344,3106,1.832089504,stunting
AFG,Asia,Low Income,month_12_23 , female,higher_secondary,3650.1,25.79528506,3763.2,4.165648916,3763.2,5.27833227,3763.2,2.046388712,stunting
AFG,Asia,Low Income,month_0_23 , female,none,19426.8,37.25085449,19960.7,4.43910434,19960.7,5.604638114,19960.7,1.765533774,stunting
AFG,Asia,Low Income,month_0_23 , female,primary,4905.5,24.35297523,5012.5,4.590258354,5012.5,6.731072319,5012.5,2.01837207,stunting
AFG,Asia,Low Income,month_0_23 , female,none-primary,20757.4,36.72054352,21301.9,4.258519193,21301.9,5.579161483,21301.9,1.672346129,stunting
AFG,Asia,Low Income,month_0_23 , female,secondary,4228,23.07966887,4328.4,5.591086776,4328.4,7.141920802,4328.4,2.591086776,stunting
AFG,Asia,Low Income,month_0_23 , female,higher,4780.6,21.99646906,4941,5.140238818,4941,6.474899818,4941,2.191633273,stunting
