ISO3Code,UNRegion,WB_Latest,age,sex,mothers_education,Status
AFG,Asia,Low Income,month_0_5 , male,none,stunting
AFG,Asia,Low Income,month_0_5 , male,primary,stunting
AFG,Asia,Low Income,month_0_5 , male,none-primary,stunting
AFG,Asia,Low Income,month_0_5 , male,secondary,stunting
AFG,Asia,Low Income,month_0_5 , male,higher,stunting
AFG,Asia,Low Income,month_0_5 , male,higher_secondary,stunting
AFG,Asia,Low Income,month_6_11 , male,none,stunting
AFG,Asia,Low Income,month_6_11 , male,primary,stunting
AFG,Asia,Low Income,month_6_11 , male,none-primary,stunting
AFG,Asia,Low Income,month_6_11 , male,secondary,stunting
AFG,Asia,Low Income,month_6_11 , male,higher,stunting
AFG,Asia,Low Income,month_6_11 , male,higher_secondary,stunting
AFG,Asia,Low Income,month_12_23 , male,none,stunting
AFG,Asia,Low Income,month_12_23 , male,primary,stunting
AFG,Asia,Low Income,month_12_23 , male,none-primary,stunting
AFG,Asia,Low Income,month_12_23 , male,secondary,stunting
AFG,Asia,Low Income,month_12_23 , male,higher,stunting
AFG,Asia,Low Income,month_12_23 , male,higher_secondary,stunting
AFG,Asia,Low Income,month_0_23 , male,none,stunting
AFG,Asia,Low Income,month_0_23 , male,primary,stunting
AFG,Asia,Low Income,month_0_23 , male,none-primary,stunting
AFG,Asia,Low Income,month_0_23 , male,secondary,stunting
AFG,Asia,Low Income,month_0_23 , male,higher,stunting
AFG,Asia,Low Income,month_0_23 , male,higher_secondary,stunting
AFG,Asia,Low Income,month_24_35 , male,none,stunting
AFG,Asia,Low Income,month_24_35 , male,primary,stunting
AFG,Asia,Low Income,month_24_35 , male,none-primary,stunting
AFG,Asia,Low Income,month_24_35 , male,secondary,stunting
AFG,Asia,Low Income,month_24_35 , male,higher,stunting
AFG,Asia,Low Income,month_24_35 , male,higher_secondary,stunting
AFG,Asia,Low Income,month_36_47 , male,none,stunting
AFG,Asia,Low Income,month_36_47 , male,primary,stunting
AFG,Asia,Low Income,month_36_47 , male,none-primary,stunting
AFG,Asia,Low Income,month_36_47 , male,secondary,stunting
AFG,Asia,Low Income,month_36_47 , male,higher,stunting
AFG,Asia,Low Income,month_36_47 , male,higher_secondary,stunting
AFG,Asia,Low Income,month_48_59 , male,none,stunting
AFG,Asia,Low Income,month_48_59 , male,primary,stunting
AFG,Asia,Low Income,month_48_59 , male,none-primary,stunting
AFG,Asia,Low Income,month_48_59 , male,secondary,stunting
AFG,Asia,Low Income,month_48_59 , male,higher,stunting
AFG,Asia,Low Income,month_48_59 , male,higher_secondary,stunting
AFG,Asia,Low Income,month_0_5 , female,none,stunting
AFG,Asia,Low Income,month_0_5 , female,primary,stunting
AFG,Asia,Low Income,month_0_5 , female,none-primary,stunting
AFG,Asia,Low Income,month_0_5 , female,secondary,stunting
AFG,Asia,Low Income,month_0_5 , female,higher,stunting
AFG,Asia,Low Income,month_0_5 , female,higher_secondary,stunting
AFG,Asia,Low Income,month_6_11 , female,none,stunting
AFG,Asia,Low Income,month_6_11 , female,primary,stunting
AFG,Asia,Low Income,month_6_11 , female,none-primary,stunting
AFG,Asia,Low Income,month_6_11 , female,secondary,stunting
AFG,Asia,Low Income,month_6_11 , female,higher,stunting
AFG,Asia,Low Income,month_6_11 , female,higher_secondary,stunting
AFG,Asia,Low Income,month_12_23 , female,none,stunting
AFG,Asia,Low Income,month_12_23 , female,primary,stunting
AFG,Asia,Low Income,month_12_23 , female,none-primary,stunting
AFG,Asia,Low Income,month_12_23 , female,secondary,stunting
AFG,Asia,Low Income,month_12_23 , female,higher,stunting
AFG,Asia,Low Income,month_12_23 , female,higher_secondary,stunting
